acao;tecnica;validacao_tamanho_base;validacao_y_pred_quant_0;validacao_y_pred_quant_1;validacao_y_true_quant_0;validacao_y_true_quant_1;validacao_accuracy;validacao_f1_score;validacao_log_loss;validacao_precision;validacao_recall;validacao_roc_auc_score
PETRP25;Perceptron;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;LabelPropagation;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;QuadraticDiscriminantAnalysis;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;KNeighborsClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;GradientBoostingClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;BernoulliNB;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;DecisionTreeClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;RidgeClassifierCV;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;BaggingClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRP25;RidgeClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;PassiveAggressiveClassifier;11;4;7;5;6;0.36363636363636365;0.4615384615384615;21.979512104917777;0.42857142857142855;0.5;0.35
PETRT25;LogisticRegression;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;DecisionTreeClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;ExtraTreesClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;QuadraticDiscriminantAnalysis;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;BaggingClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;AdaBoostClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;KNeighborsClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;CalibratedClassifierCV;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;RidgeClassifierCV;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;Perceptron;11;1;10;5;6;0.6363636363636364;0.7499999999999999;12.559845815396683;0.6;1.0;0.6
PETRT25;LinearDiscriminantAnalysis;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;SGDClassifier;11;1;10;5;6;0.45454545454545453;0.625;18.839696032419553;0.5;0.8333333333333334;0.4166666666666667
PETRT25;ExtraTreeClassifier;11;2;9;5;6;0.5454545454545454;0.6666666666666667;15.699734578570379;0.5555555555555556;0.8333333333333334;0.5166666666666667
PETRT25;LabelSpreading;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;MLPClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;LinearSVC;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;GradientBoostingClassifier;11;11;0;5;6;0.45454545454545453;0.0;18.839332579042193;0.0;0.0;0.5
PETRT25;GaussianProcessClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;BernoulliNB;11;2;9;5;6;0.36363636363636365;0.5333333333333333;21.979584795593247;0.4444444444444444;0.6666666666666666;0.3333333333333333
PETRT25;RandomForestClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRT25;LabelPropagation;11;2;9;5;6;0.5454545454545454;0.6666666666666667;15.699734578570382;0.5555555555555556;0.8333333333333334;0.5166666666666667
PETRT25;RidgeClassifier;11;0;11;5;6;0.5454545454545454;0.7058823529411764;15.699807269245854;0.5454545454545454;1.0;0.5
PETRW10;AdaBoostClassifier;15;1;14;2;13;0.8;0.888888888888889;6.9078618919728285;0.8571428571428571;0.9230769230769231;0.46153846153846156
PETRW10;LinearDiscriminantAnalysis;15;1;14;2;13;0.8;0.888888888888889;6.9078618919728285;0.8571428571428571;0.9230769230769231;0.46153846153846156
PETRW10;QuadraticDiscriminantAnalysis;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;ExtraTreeClassifier;15;5;10;2;13;0.8;0.8695652173913044;6.907755278982137;1.0;0.7692307692307693;0.8846153846153846
PETRW10;PassiveAggressiveClassifier;15;15;0;2;13;0.13333333333333333;0.0;29.933606208922583;0.0;0.0;0.5
PETRW10;BaggingClassifier;15;6;9;2;13;0.7333333333333333;0.8181818181818181;9.210340371976182;1.0;0.6923076923076923;0.8461538461538461
PETRW10;LabelSpreading;15;5;10;2;13;0.8;0.8695652173913044;6.907755278982137;1.0;0.7692307692307693;0.8846153846153846
PETRW10;CalibratedClassifierCV;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;RandomForestClassifier;15;8;7;2;13;0.6;0.7000000000000001;13.815510557964274;1.0;0.5384615384615384;0.7692307692307692
PETRW10;MultinomialNB;15;5;10;2;13;0.6666666666666666;0.7826086956521738;11.512978771465574;0.9;0.6923076923076923;0.5961538461538461
PETRW10;KNeighborsClassifier;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;RidgeClassifier;15;3;12;2;13;0.8;0.8799999999999999;6.907808585477483;0.9166666666666666;0.8461538461538461;0.6730769230769231
PETRW10;LogisticRegression;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;ExtraTreesClassifier;15;4;11;2;13;0.7333333333333333;0.8333333333333333;9.210393678471528;0.9090909090909091;0.7692307692307693;0.6346153846153846
PETRW10;BernoulliNB;15;3;12;2;13;0.8;0.8799999999999999;6.907808585477483;0.9166666666666666;0.8461538461538461;0.6730769230769231
PETRW10;MLPClassifier;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;DecisionTreeClassifier;15;4;11;2;13;0.7333333333333333;0.8333333333333333;9.210393678471528;0.9090909090909091;0.7692307692307693;0.6346153846153846
PETRW10;LinearSVC;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;GradientBoostingClassifier;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;Perceptron;15;15;0;2;13;0.13333333333333333;0.0;29.933606208922583;0.0;0.0;0.5
PETRW10;LabelPropagation;15;4;11;2;13;0.6;0.7500000000000001;13.815617170954965;0.8181818181818182;0.6923076923076923;0.34615384615384615
PETRW10;SGDClassifier;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW10;GaussianProcessClassifier;15;2;13;2;13;0.7333333333333333;0.8461538461538461;9.210446984966874;0.8461538461538461;0.8461538461538461;0.4230769230769231
PETRW10;RidgeClassifierCV;15;0;15;2;13;0.8666666666666667;0.9285714285714286;4.6052767989787835;0.8666666666666667;1.0;0.5
PETRW11;RidgeClassifierCV;15;0;15;6;9;0.6;0.7499999999999999;13.81583039693635;0.6;1.0;0.5
PETRW11;LinearDiscriminantAnalysis;15;0;15;6;9;0.6;0.7499999999999999;13.81583039693635;0.6;1.0;0.5
PETRW11;AdaBoostClassifier;15;0;15;6;9;0.6;0.7499999999999999;13.81583039693635;0.6;1.0;0.5
PETRW11;MultinomialNB;15;5;10;6;9;0.4;0.5263157894736842;20.72353236942314;0.5;0.5555555555555556;0.3611111111111111
